"","Station","Cluster_ID","CV (< 0.375)","Uncertainty AVG","Environment Type","Latitude","Longitude","Zone","Region","Northing","Easting","Altitude (m)","Start Date","End Date","UK-AIR ID"
"1","Aberdeen",3,0,0,"Background Urban",57.15736,-2.094278,"North East Scotland","North East Scotland",807391.98,394395.8,20,"9/18/99","11/07/2019","UKA00399"
"2","Aberdeen.Union.Street.Roadside",3,0,0,"Traffic Urban",57.144555,-2.106472,"North East Scotland","North East Scotland",805967.6,393655.92,26,"01/01/2008",NA,"UKA00513"
"3","Aberdeen.Wellington.Road",3,0,0,"Traffic Urban",57.133888,-2.094198,"North East Scotland","North East Scotland",804779,394397,19,"02/09/2016",NA,"UKA00615"
"4","Armagh.Roadside",3,0,0,"Traffic Urban",54.353728,-6.654558,"Northern Ireland","Northern Ireland",505347.21,97683.9,41,"01/01/2009","09/03/2010","UKA00541"
"5","Aston.Hill",1,0,0,"Background Rural",52.50385,-3.034178,"North Wales","North Wales",290053.08,329898.9,370,"6/26/86",NA,"UKA00137"
"6","Ballymena.Antrim.Road",3,0,0,"Traffic Urban",54.851491,-6.274961,"Northern Ireland","Northern Ireland",559121,125704,53,"04/01/2017",NA,"UKA00633"
"7","Ballymena.Ballykeel",3,0,0,"Background Urban",54.861595,-6.250873,"Northern Ireland","Northern Ireland",560150.05,127317.09,59,"01/11/2007","12/31/11","UKA00503"
"8","Barnsley.Gawber",2,0,0,"Background Urban",53.56292,-1.510436,"Yorkshire & Humberside","Yorkshire & Humberside",407478.45,432524.22,100,"07/07/1997","9/30/07","UKA00353"
"9","Bath.Roadside",4,0,0,"Traffic Urban",51.391127,-2.354155,"South West","South West",165847.02,375454.5,27,"11/18/96","06/11/2019","UKA00306"
"10","Belfast.Centre",3,0,0,"Background Urban",54.59965,-5.928833,"Belfast Metropolitan Urban Area","Northern Ireland",529816.59,146337.91,10,"03/08/1992","9/16/19","UKA00212"
"11","Belfast.Stockman.s.Lane",3,0,0,"Traffic Urban",54.572586,-5.974944,"Belfast Metropolitan Urban Area","Northern Ireland",526975.07,143190.78,9,"06/07/2014",NA,"UKA00594"
"12","Billingham",2,0,0,"Industrial Urban",54.60537,-1.275039,"Teesside Urban Area","North East",523597.01,446927.61,10,"01/01/1987",NA,"UKA00153"
"13","Birkenhead.Borough.Road",2,0,0,"Traffic Urban",53.388511,-3.025014,"Birkenhead Urban Area",NA,388453.16,331926.43,7,"8/18/16",NA,"UKA00625"
"14","Birmingham.A4540.Roadside",2,0,0,"Traffic Urban",52.47609,-1.875024,"West Midlands Urban Area","West Midlands",286469.58,408585.63,109,"09/06/2016","12/31/18","UKA00626"
"15","Birmingham.Acocks.Green",2,0,0,"Background Urban",52.437165,-1.829999,"West Midlands Urban Area","West Midlands",282146,411653.98,134,"3/18/11","5/16/19","UKA00559"
"16","Blackburn.Accrington.Road",2,0,0,"Traffic Urban",53.747751,-2.452724,"North West & Merseyside","North West & Merseyside",428026.15,370241.78,142,"05/12/2014",NA,"UKA00590"
"17","Blackpool.Marton",2,0,0,"Background Urban",53.80489,-3.007175,"Blackpool Urban Area","North West & Merseyside",434758.92,333768.44,16,"6/14/05","07/12/2019","UKA00488"
"18","Borehamwood.Meadow.Park",4,0,0,"Background Urban",51.661229,-0.270671,"Eastern","Eastern",197243,519709,85,"10/01/2017",NA,"UKA00644"
"19","Bournemouth",1,0,0,"Background Urban",50.73957,-1.826744,"Bournemouth Urban Area","South West",93343.15,412321.91,30,"03/05/2001","10/31/17","UKA00429"
"20","Bradford.Mayo.Avenue",2,0,0,"Traffic Urban",53.771245,-1.759774,"West Yorkshire Urban Area","Yorkshire & Humberside",430571.56,415930.92,187,"4/24/15",NA,"UKA00611"
"21","Brighton.Preston.Park",4,0,0,"Background Urban",50.840836,-0.147572,"Brighton/Worthing/Littlehampton","South East",106224.6,530523.94,10,"11/03/2004","5/28/19","UKA00483"
"22","Bristol.St.Paul.s",1,0,0,"Background Urban",51.462839,-2.584482,"Bristol Urban Area","South West",173925.03,359492.1,15,"6/15/06","6/26/19","UKA00494"
"23","Bristol.Temple.Way",1,0,0,"Traffic Urban",51.457968,-2.583975,"Bristol Urban Area","South West",173383,359523,13,"04/01/2017",NA,"UKA00631"
"24","Burton.on.Trent.Horninglow",2,0,0,"Background Urban",52.82105,-1.635718,"West Midlands","West Midlands",324897,424646,46,"02/01/2018",NA,"UKA00652"
"25","Bury.Whitefield.Roadside",2,0,0,"Traffic Urban",53.559029,-2.293772,"Greater Manchester Urban Area","North West & Merseyside",406974.42,380637.36,102,"07/11/2014","10/24/18","UKA00598"
"26","Bush.Estate",3,0,0,"Background Rural",55.862281,-3.205782,"Central Scotland","Central Scotland",663890.62,324629.04,180,"04/01/1986","01/05/2016","UKA00128"
"27","Cambridge.Roadside",4,0,0,"Traffic Urban",52.20237,0.124456,"Eastern","Eastern",258142.42,545279.43,19,"6/26/99",NA,"UKA00396"
"28","Camden.Kerbside",4,0,0,"Traffic Urban",51.54421,-0.175269,"Greater London Urban Area","Greater London Urban Area",184390.33,526632.53,50,"5/16/96","2/18/09","UKA00259"
"29","Cannock.A5190.Roadside",2,0,0,"Traffic Urban",52.687298,-1.980821,"West Midlands","West Midlands",309956.61,401393.54,182,"08/10/2016",NA,"UKA00623"
"30","Canterbury",4,0,0,"Background Urban",51.27399,1.098061,"South East","South East",157319.12,616186.92,35,"01/02/2001","9/30/07","UKA00424"
"31","Cardiff.Centre",1,0,0,"Background Urban",51.48178,-3.17625,"Cardiff Urban Area","South Wales",176525.75,318416.22,12,"05/12/1992","09/10/2007","UKA00217"
"32","Cardiff.Newport.Road",1,0,0,"Traffic Urban",51.49096,-3.152305,"Cardiff Urban Area","South Wales",177520,320095,8,"04/01/2018",NA,"UKA00653"
"33","Carlisle.Roadside",3,0,0,"Traffic Urban",54.894834,-2.945307,"North West & Merseyside","North West & Merseyside",555975.97,339469.19,11,"2/14/08","11/20/18","UKA00526"
"34","Charlton.Mackrell",1,0,0,"Background Rural",51.05625,-2.68345,"South West","South West",128767.68,352195.88,54,"09/03/2008",NA,"UKA00537"
"35","Chatham.Roadside",4,0,0,"Traffic Urban",51.374264,0.54797,"South East","South East",166992.84,577436.75,80,"3/25/10","11/10/2016","UKA00553"
"36","Chepstow.A48",1,0,0,"Traffic Urban",51.638094,-2.678731,"South Wales","South Wales",193472.64,353125.5,67,"01/01/2008","08/09/2018","UKA00515"
"37","Chesterfield.Loundsley.Green",2,0,0,"Background Urban",53.244131,-1.454946,"East Midlands","East Midlands",372039,436470,98,"03/01/2015","6/20/19","UKA00604"
"38","Chesterfield.Roadside",2,0,0,"Traffic Urban",53.231722,-1.456944,"East Midlands","East Midlands",370657.99,436347.52,96,"03/11/2008","6/20/19","UKA00529"
"39","Chilbolton.Observatory",4,0,0,"Background Rural",51.149617,-1.438228,"South East","South East",139078.44,439389.91,78,"01/11/2016","7/24/18","UKA00614"
"40","Christchurch.Barrack.Road",1,0,0,"Traffic Urban",50.735454,-1.780888,"Bournemouth Urban Area","South West",92894.01,415559.03,3,"09/01/2016",NA,"UKA00624"
"41","Coventry.Allesley",2,0,0,"Background Urban",52.411563,-1.560228,"Coventry/Bedworth","West Midlands",279375.5,430010.74,98,"06/11/2014","5/28/19","UKA00592"
"42","Coventry.Binley.Road",2,0,0,"Traffic Urban",52.407708,-1.490082,"Coventry/Bedworth","West Midlands",278978.01,434785.14,82,"04/01/2017","09/11/2018","UKA00634"
"43","Cwmbran",1,0,0,"Background Urban",51.6538,-3.006953,"South Wales","South Wales",195481.48,330435.61,71,"7/20/01","10/15/07","UKA00436"
"44","Derby.St.Alkmund.s.Way",2,0,0,"Traffic Urban",52.922983,-1.469507,"East Midlands","East Midlands",336305.97,435763.02,51,"01/01/2017",NA,"UKA00630"
"45","Derry.Rosemount",3,0,0,"Background Urban",55.002818,-7.331179,"Northern Ireland","Northern Ireland",580589.97,59252.77,54,"3/21/16","10/22/19","UKA00619"
"46","Dewsbury.Ashworth.Grove",2,0,0,"Background Urban",53.693104,-1.637111,"West Yorkshire Urban Area","Yorkshire & Humberside",421912,424060,69,"04/01/2018",NA,"UKA00654"
"47","Doncaster.A630.Cleveland.Street",2,0,0,"Traffic Urban",53.51824,-1.138057,"Yorkshire & Humberside","Yorkshire & Humberside",402746.57,457248.75,15,"05/07/2015",NA,"UKA00612"
"48","Dumbarton.Roadside",3,0,0,"Traffic Urban",55.943197,-4.55973,"Central Scotland","Central Scotland",675198.79,240234.67,3,"09/01/2010",NA,"UKA00555"
"49","Dumfries",3,0,0,"Traffic Urban",55.070033,-3.614233,"Scottish Borders","Scottish Borders",576254.03,297019.53,10,"03/01/2001","3/27/08","UKA00428"
"50","Dundee.Mains.Loan",3,0,0,"Background Urban",56.475434,-2.959861,"North East Scotland","North East Scotland",731892.31,340970.55,84,"10/01/2017",NA,"UKA00643"
"51","Eastbourne",4,0,0,"Background Urban",50.805778,0.271611,"South East","South East",103150.43,560155.21,7,"07/01/2009","1/14/19","UKA00546"
"52","Edinburgh.Nicolson.Street",3,0,0,"Traffic Urban",55.94476,-3.183991,"Edinburgh Urban Area","Central Scotland",673046,326150,85,"12/01/2017",NA,"UKA00649"
"53","Edinburgh.St.Leonards",3,0,0,"Background Urban",55.945589,-3.182186,"Edinburgh Urban Area","Central Scotland",673136.49,326264.3,81,"01/01/2003","7/26/19","UKA00454"
"54","Eskdalemuir",3,0,0,"Background Rural",55.31531,-3.206111,"Scottish Borders","Scottish Borders",603021.74,323550.97,255,"4/23/86",NA,"UKA00130"
"55","Exeter.Roadside",1,0,0,"Traffic Urban",50.725083,-3.532465,"South West","South West",92838.2,291929.04,43,"07/02/1996","9/30/07","UKA00263"
"56","Fort.William",3,0,0,"Background Suburban",56.82266,-5.101102,"Highland","Highland",774418.72,210849.73,5,"6/22/06",NA,"UKA00495"
"57","Glasgow.Great.Western.Road",3,0,0,"Traffic Urban",55.872038,-4.270936,"Glasgow Urban Area","Central Scotland",666651,258007,NA,"06/05/2014",NA,"UKA00593"
"58","Glasgow.High.Street",3,0,0,"Traffic Urban",55.860936,-4.238214,"Glasgow Urban Area","Central Scotland",665348.95,260014.08,35,"1/27/15","11/02/2018","UKA00602"
"59","Glasgow.Kerbside",3,0,0,"Traffic Urban",55.85917,-4.258889,"Glasgow Urban Area","Central Scotland",665194.51,258713.92,10,"03/10/1997","12/31/14","UKA00336"
"60","Glasgow.Townhead",3,0,0,"Background Urban",55.865782,-4.243631,"Glasgow Urban Area","Central Scotland",665899.13,259692.6,40,"10/07/2013","10/02/2018","UKA00576"
"61","Glazebury",2,0,0,"Background Rural",53.46008,-2.472056,"North West & Merseyside","North West & Merseyside",396029.54,368754.53,21,"04/01/1988",NA,"UKA00170"
"62","Grangemouth",3,0,0,"Industrial Urban",56.010319,-3.704399,"Central Scotland","Central Scotland",681020.65,293829.88,4,"01/01/2001","06/06/2018","UKA00420"
"63","Grangemouth.Moray",3,0,0,"Industrial Urban",56.013142,-3.710833,"Central Scotland","Central Scotland",681344.72,293436.55,4,"06/01/2009",NA,"UKA00544"
"64","Greenock.A8.Roadside",3,0,0,"Traffic Urban",55.944079,-4.734421,"Central Scotland","Central Scotland",675714.74,229331.5,9,"05/04/2016",NA,"UKA00621"
"65","Hafod.yr.ynys.Roadside",1,0,0,"Traffic Urban",51.680579,-3.133508,"South Wales","South Wales",198588,321727,NA,"10/14/14",NA,"UKA00596"
"66","Haringey.Roadside",4,0,0,"Traffic Urban",51.5993,-0.068218,"Greater London Urban Area","Greater London Urban Area",190707.13,533893.52,10,"5/16/96","02/09/2016","UKA00260"
"67","Hartlepool.St.Abbs.Walk",2,0,0,"Background Urban",54.683242,-1.203838,"North East","North East",532312,451429,7,"10/17/17",NA,"UKA00645"
"68","High.Muffles",2,0,0,"Background Rural",54.334944,-0.80855,"Yorkshire & Humberside","Yorkshire & Humberside",493918.85,477569.02,267,"7/16/87","04/03/2014","UKA00169"
"69","Honiton",1,0,0,"Background Urban",50.792287,-3.196702,"South West","South West",99874.03,315748.63,122,"6/21/12",NA,"UKA00566"
"70","Horley",4,0,0,"Industrial Suburban",51.165865,-0.167734,"South East","South East",142330.91,528206.03,40,"11/21/07",NA,"UKA00511"
"71","Hull.Freetown",2,0,0,"Background Urban",53.74878,-0.341222,"Kingston upon Hull","Yorkshire & Humberside",429322.05,509481.95,4,"11/06/2002","09/12/2019","UKA00450"
"72","Hull.Holderness.Road",2,0,0,"Traffic Urban",53.758971,-0.305749,"Kingston upon Hull","Yorkshire & Humberside",430510.95,511793.9,4,"01/01/2015","1/26/17","UKA00600"
