"","Station","Cluster_ID","CV (< 0.375)","Uncertainty AVG","Environment Type","Latitude","Longitude","Zone","Region","Northing","Easting","Altitude (m)","Start Date","End Date","UK-AIR ID"
"1","Aberdeen",3,0,0,"Background Urban",57.15736,-2.094278,"North East Scotland","North East Scotland",807391.98,394395.8,20,"9/18/99","11/07/2019","UKA00399"
"2","Aston.Hill",1,0,0,"Background Rural",52.50385,-3.034178,"North Wales","North Wales",290053.08,329898.9,370,"6/26/86",NA,"UKA00137"
"3","Auchencorth.Moss",3,0,0,"Background Rural",55.79216,-3.2429,"Central Scotland","Central Scotland",656128.11,322165.87,260,"01/01/2003","08/08/2018","UKA00451"
"4","Barnsley.Gawber",2,0,0,"Background Urban",53.56292,-1.510436,"Yorkshire & Humberside","Yorkshire & Humberside",407478.45,432524.22,100,"07/07/1997","9/30/07","UKA00353"
"5","Belfast.Centre",3,0,0,"Background Urban",54.59965,-5.928833,"Belfast Metropolitan Urban Area","Northern Ireland",529816.59,146337.91,10,"03/08/1992","9/16/19","UKA00212"
"6","Birmingham.A4540.Roadside",2,0,0,"Traffic Urban",52.47609,-1.875024,"West Midlands Urban Area","West Midlands",286469.58,408585.63,109,"09/06/2016","12/31/18","UKA00626"
"7","Birmingham.Acocks.Green",2,0,0,"Background Urban",52.437165,-1.829999,"West Midlands Urban Area","West Midlands",282146,411653.98,134,"3/18/11","5/16/19","UKA00559"
"8","Blackpool.Marton",2,0,0,"Background Urban",53.80489,-3.007175,"Blackpool Urban Area","North West & Merseyside",434758.92,333768.44,16,"6/14/05","07/12/2019","UKA00488"
"9","Bournemouth",1,0,0,"Background Urban",50.73957,-1.826744,"Bournemouth Urban Area","South West",93343.15,412321.91,30,"03/05/2001","10/31/17","UKA00429"
"10","Brighton.Preston.Park",4,0,0,"Background Urban",50.840836,-0.147572,"Brighton/Worthing/Littlehampton","South East",106224.6,530523.94,10,"11/03/2004","5/28/19","UKA00483"
"11","Bristol.St.Paul.s",1,0,0,"Background Urban",51.462839,-2.584482,"Bristol Urban Area","South West",173925.03,359492.1,15,"6/15/06","6/26/19","UKA00494"
"12","Bush.Estate",3,0,0,"Background Rural",55.862281,-3.205782,"Central Scotland","Central Scotland",663890.62,324629.04,180,"04/01/1986","01/05/2016","UKA00128"
"13","Canterbury",4,0,0,"Background Urban",51.27399,1.098061,"South East","South East",157319.12,616186.92,35,"01/02/2001","9/30/07","UKA00424"
"14","Cardiff.Centre",1,0,0,"Background Urban",51.48178,-3.17625,"Cardiff Urban Area","South Wales",176525.75,318416.22,12,"05/12/1992","09/10/2007","UKA00217"
"15","Chilbolton.Observatory",4,0,0,"Background Rural",51.149617,-1.438228,"South East","South East",139078.44,439389.91,78,"01/11/2016","7/24/18","UKA00614"
"16","Coventry.Allesley",2,0,0,"Background Urban",52.411563,-1.560228,"Coventry/Bedworth","West Midlands",279375.5,430010.74,98,"06/11/2014","5/28/19","UKA00592"
"17","Cwmbran",1,0,0,"Background Urban",51.6538,-3.006953,"South Wales","South Wales",195481.48,330435.61,71,"7/20/01","10/15/07","UKA00436"
"18","Eskdalemuir",3,0,0,"Background Rural",55.31531,-3.206111,"Scottish Borders","Scottish Borders",603021.74,323550.97,255,"4/23/86",NA,"UKA00130"
"19","Exeter.Roadside",1,0,0,"Traffic Urban",50.725083,-3.532465,"South West","South West",92838.2,291929.04,43,"07/02/1996","9/30/07","UKA00263"
"20","Fort.William",3,0,0,"Background Suburban",56.82266,-5.101102,"Highland","Highland",774418.72,210849.73,5,"6/22/06",NA,"UKA00495"
"21","Glasgow.Townhead",3,0,0,"Background Urban",55.865782,-4.243631,"Glasgow Urban Area","Central Scotland",665899.13,259692.6,40,"10/07/2013","10/02/2018","UKA00576"
"22","Glazebury",2,0,0,"Background Rural",53.46008,-2.472056,"North West & Merseyside","North West & Merseyside",396029.54,368754.53,21,"04/01/1988",NA,"UKA00170"
"23","High.Muffles",2,0,0,"Background Rural",54.334944,-0.80855,"Yorkshire & Humberside","Yorkshire & Humberside",493918.85,477569.02,267,"7/16/87","04/03/2014","UKA00169"
"24","Hull.Freetown",2,0,0,"Background Urban",53.74878,-0.341222,"Kingston upon Hull","Yorkshire & Humberside",429322.05,509481.95,4,"11/06/2002","09/12/2019","UKA00450"
"25","Ladybower",2,0,0,"Background Rural",53.40337,-1.752006,"East Midlands","East Midlands",389645.1,416585.32,420,"7/15/88","01/11/2016","UKA00171"
"26","Leamington.Spa",4,0,0,"Background Urban",52.28881,-1.533119,"West Midlands","West Midlands",265733.01,431942.76,55,"7/26/96","06/10/2019","UKA00265"
"27","Leeds.Centre",2,0,0,"Background Urban",53.80378,-1.546472,"West Yorkshire Urban Area","Yorkshire & Humberside",434259.97,429966.54,78,"01/04/1993","12/02/2008","UKA00222"
"28","Leicester.University",2,0,0,"Background Urban",52.619823,-1.127311,"Leicester Urban Area","East Midlands",302807.95,459177.85,83,"10/01/2013",NA,"UKA00573"
"29","Leominster",1,0,0,"Background Suburban",52.22174,-2.736665,"West Midlands","West Midlands",258426.11,349773.58,75,"7/18/05","08/07/2012","UKA00489"
"30","Liverpool.Speke",2,0,0,"Industrial Urban",53.34633,-2.844333,"Liverpool Urban Area","North West & Merseyside",383603.18,343887.26,26,"11/24/95","9/18/18","UKA00247"
"31","London.Bloomsbury",4,0,0,"Background Urban",51.52229,-0.125889,"Greater London Urban Area","Greater London Urban Area",182039.31,530118.96,20,"1/23/92","7/16/12","UKA00211"
"32","London.Eltham",4,0,0,"Background Suburban",51.45258,0.070766,"Greater London Urban Area","Greater London Urban Area",174655.3,543980.53,60,"10/08/1993","9/30/07","UKA00230"
