"","Station","Cluster_ID","CV (< 0.375)","Uncertainty AVG","Environment Type","Latitude","Longitude","Zone","Region","Northing","Easting","Altitude (m)","Start Date","End Date","UK-AIR ID"
"1","Aberdeen",3,0,0,"Background Urban",57.15736,-2.094278,"North East Scotland","North East Scotland",807391.98,394395.8,20,"9/18/99","11/07/2019","UKA00399"
"2","Armagh.Roadside",3,0,0,"Traffic Urban",54.353728,-6.654558,"Northern Ireland","Northern Ireland",505347.21,97683.9,41,"01/01/2009","09/03/2010","UKA00541"
"3","Auchencorth.Moss",3,0,0,"Background Rural",55.79216,-3.2429,"Central Scotland","Central Scotland",656128.11,322165.87,260,"01/01/2003","08/08/2018","UKA00451"
"4","Barnstaple.A39",1,0,0,"Traffic Urban",51.074793,-4.041924,"South West","South West",132591,257048,13,"11/14/13","08/02/2018","UKA00574"
"5","Belfast.Centre",3,0,0,"Background Urban",54.59965,-5.928833,"Belfast Metropolitan Urban Area","Northern Ireland",529816.59,146337.91,10,"03/08/1992","9/16/19","UKA00212"
"6","Belfast.Stockman.s.Lane",3,0,0,"Traffic Urban",54.572586,-5.974944,"Belfast Metropolitan Urban Area","Northern Ireland",526975.07,143190.78,9,"06/07/2014",NA,"UKA00594"
"7","Birmingham.A4540.Roadside",2,0,0,"Traffic Urban",52.47609,-1.875024,"West Midlands Urban Area","West Midlands",286469.58,408585.63,109,"09/06/2016","12/31/18","UKA00626"
"8","Birmingham.Ladywood",2,0,0,"Background Urban",52.481346,-1.918235,"West Midlands Urban Area","West Midlands",287050,405650,134,"06/01/2018","4/25/19","UKA00655"
"9","Bristol.St.Paul.s",1,0,0,"Background Urban",51.462839,-2.584482,"Bristol Urban Area","South West",173925.03,359492.1,15,"6/15/06","6/26/19","UKA00494"
"10","Bristol.Temple.Way",1,0,0,"Traffic Urban",51.457968,-2.583975,"Bristol Urban Area","South West",173383,359523,13,"04/01/2017",NA,"UKA00631"
"11","Bury.Whitefield.Roadside",2,0,0,"Traffic Urban",53.559029,-2.293772,"Greater Manchester Urban Area","North West & Merseyside",406974.42,380637.36,102,"07/11/2014","10/24/18","UKA00598"
"12","Camden.Kerbside",4,0,0,"Traffic Urban",51.54421,-0.175269,"Greater London Urban Area","Greater London Urban Area",184390.33,526632.53,50,"5/16/96","2/18/09","UKA00259"
"13","Cardiff.Centre",1,0,0,"Background Urban",51.48178,-3.17625,"Cardiff Urban Area","South Wales",176525.75,318416.22,12,"05/12/1992","09/10/2007","UKA00217"
"14","Cardiff.Newport.Road",1,0,0,"Traffic Urban",51.49096,-3.152305,"Cardiff Urban Area","South Wales",177520,320095,8,"04/01/2018",NA,"UKA00653"
"15","Carlisle.Roadside",3,0,0,"Traffic Urban",54.894834,-2.945307,"North West & Merseyside","North West & Merseyside",555975.97,339469.19,11,"2/14/08","11/20/18","UKA00526"
"16","Chatham.Roadside",4,0,0,"Traffic Urban",51.374264,0.54797,"South East","South East",166992.84,577436.75,80,"3/25/10","11/10/2016","UKA00553"
"17","Chepstow.A48",1,0,0,"Traffic Urban",51.638094,-2.678731,"South Wales","South Wales",193472.64,353125.5,67,"01/01/2008","08/09/2018","UKA00515"
"18","Chesterfield.Loundsley.Green",2,0,0,"Background Urban",53.244131,-1.454946,"East Midlands","East Midlands",372039,436470,98,"03/01/2015","6/20/19","UKA00604"
"19","Chesterfield.Roadside",2,0,0,"Traffic Urban",53.231722,-1.456944,"East Midlands","East Midlands",370657.99,436347.52,96,"03/11/2008","6/20/19","UKA00529"
"20","Chilbolton.Observatory",4,0,0,"Background Rural",51.149617,-1.438228,"South East","South East",139078.44,439389.91,78,"01/11/2016","7/24/18","UKA00614"
"21","Coventry.Binley.Road",2,0,0,"Traffic Urban",52.407708,-1.490082,"Coventry/Bedworth","West Midlands",278978.01,434785.14,82,"04/01/2017","09/11/2018","UKA00634"
"22","Derry.Rosemount",3,0,0,"Background Urban",55.002818,-7.331179,"Northern Ireland","Northern Ireland",580589.97,59252.77,54,"3/21/16","10/22/19","UKA00619"
"23","Ealing.Horn.Lane",4,0,0,"Traffic Urban",51.51895,-0.265617,"Greater London Urban Area","Greater London Urban Area",181428.88,520434.38,30,"5/21/14","1/29/19","UKA00591"
"24","Edinburgh.St.Leonards",3,0,0,"Background Urban",55.945589,-3.182186,"Edinburgh Urban Area","Central Scotland",673136.49,326264.3,81,"01/01/2003","7/26/19","UKA00454"
"25","Glasgow.High.Street",3,0,0,"Traffic Urban",55.860936,-4.238214,"Glasgow Urban Area","Central Scotland",665348.95,260014.08,35,"1/27/15","11/02/2018","UKA00602"
"26","Glasgow.Townhead",3,0,0,"Background Urban",55.865782,-4.243631,"Glasgow Urban Area","Central Scotland",665899.13,259692.6,40,"10/07/2013","10/02/2018","UKA00576"
"27","Grangemouth",3,0,0,"Industrial Urban",56.010319,-3.704399,"Central Scotland","Central Scotland",681020.65,293829.88,4,"01/01/2001","06/06/2018","UKA00420"
"28","Greenock.A8.Roadside",3,0,0,"Traffic Urban",55.944079,-4.734421,"Central Scotland","Central Scotland",675714.74,229331.5,9,"05/04/2016",NA,"UKA00621"
"29","Hull.Holderness.Road",2,0,0,"Traffic Urban",53.758971,-0.305749,"Kingston upon Hull","Yorkshire & Humberside",430510.95,511793.9,4,"01/01/2015","1/26/17","UKA00600"
"30","Inverness",3,0,0,"Traffic Urban",57.481308,-4.241451,"Highland","Highland",845668.85,265708.85,1,"07/11/2001","7/23/18","UKA00434"
"31","Leamington.Spa",4,0,0,"Background Urban",52.28881,-1.533119,"West Midlands","West Midlands",265733.01,431942.76,55,"7/26/96","06/10/2019","UKA00265"
"32","Leamington.Spa.Rugby.Road",2,0,0,"Traffic Urban",52.294884,-1.542911,"West Midlands","West Midlands",266404.37,431270.59,66,"06/01/2012","06/07/2019","UKA00564"
"33","Leeds.Centre",2,0,0,"Background Urban",53.80378,-1.546472,"West Yorkshire Urban Area","Yorkshire & Humberside",434259.97,429966.54,78,"01/04/1993","12/02/2008","UKA00222"
"34","Leeds.Headingley.Kerbside",2,0,0,"Traffic Urban",53.819972,-1.576361,"West Yorkshire Urban Area","Yorkshire & Humberside",436049.33,427987.34,85,"2/17/08","04/06/2009","UKA00527"
"35","Leicester.A594.Roadside",2,0,0,"Traffic Urban",52.638677,-1.124228,"Leicester Urban Area","East Midlands",304907.7,459361.09,59,"06/01/2015","09/03/2018","UKA00609"
"36","Liverpool.Speke",2,0,0,"Industrial Urban",53.34633,-2.844333,"Liverpool Urban Area","North West & Merseyside",383603.18,343887.26,26,"11/24/95","9/18/18","UKA00247"
"37","London.Bloomsbury",4,0,0,"Background Urban",51.52229,-0.125889,"Greater London Urban Area","Greater London Urban Area",182039.31,530118.96,20,"1/23/92","7/16/12","UKA00211"
"38","London.Harlington",4,0,0,"Industrial Urban",51.48879,-0.441614,"Greater London Urban Area","Greater London Urban Area",177800.17,508295.2,35,"01/01/2004","12/31/15","UKA00472"
