"","Station","Cluster_ID","CV (< 0.375)","Uncertainty AVG","Environment Type","Latitude","Longitude","Zone","Region","Northing","Easting","Altitude (m)","Start Date","End Date","UK-AIR ID"
"1","Aberdeen",3,0,0,"Background Urban",57.15736,-2.094278,"North East Scotland","North East Scotland",807391.98,394395.8,20,"9/18/99","11/07/2019","UKA00399"
"2","Auchencorth.Moss",3,0,0,"Background Rural",55.79216,-3.2429,"Central Scotland","Central Scotland",656128.11,322165.87,260,"01/01/2003","08/08/2018","UKA00451"
"3","Barnstaple.A39",1,0,0,"Traffic Urban",51.074793,-4.041924,"South West","South West",132591,257048,13,"11/14/13","08/02/2018","UKA00574"
"4","Belfast.Centre",3,0,0,"Background Urban",54.59965,-5.928833,"Belfast Metropolitan Urban Area","Northern Ireland",529816.59,146337.91,10,"03/08/1992","9/16/19","UKA00212"
"5","Birmingham.A4540.Roadside",2,0,0,"Traffic Urban",52.47609,-1.875024,"West Midlands Urban Area","West Midlands",286469.58,408585.63,109,"09/06/2016","12/31/18","UKA00626"
"6","Birmingham.Acocks.Green",2,0,0,"Background Urban",52.437165,-1.829999,"West Midlands Urban Area","West Midlands",282146,411653.98,134,"3/18/11","5/16/19","UKA00559"
"7","Blackpool.Marton",2,0,0,"Background Urban",53.80489,-3.007175,"Blackpool Urban Area","North West & Merseyside",434758.92,333768.44,16,"6/14/05","07/12/2019","UKA00488"
"8","Bournemouth",1,0,0,"Background Urban",50.73957,-1.826744,"Bournemouth Urban Area","South West",93343.15,412321.91,30,"03/05/2001","10/31/17","UKA00429"
"9","Bristol.St.Paul.s",1,0,0,"Background Urban",51.462839,-2.584482,"Bristol Urban Area","South West",173925.03,359492.1,15,"6/15/06","6/26/19","UKA00494"
"10","Camden.Kerbside",4,0,0,"Traffic Urban",51.54421,-0.175269,"Greater London Urban Area","Greater London Urban Area",184390.33,526632.53,50,"5/16/96","2/18/09","UKA00259"
"11","Cardiff.Centre",1,0,0,"Background Urban",51.48178,-3.17625,"Cardiff Urban Area","South Wales",176525.75,318416.22,12,"05/12/1992","09/10/2007","UKA00217"
"12","Carlisle.Roadside",3,0,0,"Traffic Urban",54.894834,-2.945307,"North West & Merseyside","North West & Merseyside",555975.97,339469.19,11,"2/14/08","11/20/18","UKA00526"
"13","Chatham.Roadside",4,0,0,"Traffic Urban",51.374264,0.54797,"South East","South East",166992.84,577436.75,80,"3/25/10","11/10/2016","UKA00553"
"14","Chepstow.A48",1,0,0,"Traffic Urban",51.638094,-2.678731,"South Wales","South Wales",193472.64,353125.5,67,"01/01/2008","08/09/2018","UKA00515"
"15","Chesterfield.Loundsley.Green",2,0,0,"Background Urban",53.244131,-1.454946,"East Midlands","East Midlands",372039,436470,98,"03/01/2015","6/20/19","UKA00604"
"16","Chesterfield.Roadside",2,0,0,"Traffic Urban",53.231722,-1.456944,"East Midlands","East Midlands",370657.99,436347.52,96,"03/11/2008","6/20/19","UKA00529"
"17","Chilbolton.Observatory",4,0,0,"Background Rural",51.149617,-1.438228,"South East","South East",139078.44,439389.91,78,"01/11/2016","7/24/18","UKA00614"
"18","Christchurch.Barrack.Road",1,0,0,"Traffic Urban",50.735454,-1.780888,"Bournemouth Urban Area","South West",92894.01,415559.03,3,"09/01/2016",NA,"UKA00624"
"19","Coventry.Allesley",2,0,0,"Background Urban",52.411563,-1.560228,"Coventry/Bedworth","West Midlands",279375.5,430010.74,98,"06/11/2014","5/28/19","UKA00592"
"20","Derry.Rosemount",3,0,0,"Background Urban",55.002818,-7.331179,"Northern Ireland","Northern Ireland",580589.97,59252.77,54,"3/21/16","10/22/19","UKA00619"
"21","Eastbourne",4,0,0,"Background Urban",50.805778,0.271611,"South East","South East",103150.43,560155.21,7,"07/01/2009","1/14/19","UKA00546"
"22","Edinburgh.St.Leonards",3,0,0,"Background Urban",55.945589,-3.182186,"Edinburgh Urban Area","Central Scotland",673136.49,326264.3,81,"01/01/2003","7/26/19","UKA00454"
"23","Glasgow.High.Street",3,0,0,"Traffic Urban",55.860936,-4.238214,"Glasgow Urban Area","Central Scotland",665348.95,260014.08,35,"1/27/15","11/02/2018","UKA00602"
